progress,"(['progressive', 'progressing', 'progresses', 'progressed', 'progression'], 103)"
burr,"(['burrow', 'burrows', 'burri', 'blurred', 'burgher'], 6)"
strippers,"([], 1)"
shying,"([], 2)"
curtail,"(['curtailed'], 1)"
fade,"(['forbade', 'fades', 'facade'], 6)"
vestas,"([], 1)"
defoe,"(['deformed'], 1)"
o,"(['hour', 'no', 'hold', 'co', 'took', 'boy', 'only', 'lost', 'slow', 'loud', 'come', 'coat', 'tops', 'wore', 'whom', 'von', 'rose', 'none', 'once', 'grow', 'tore', 'look', 'born', 'pooh', 'oh', 'does', 'drop', 'gold', 'book', 'john', 'wood', 'soon', 'four', 'nod', 'road', 'lock', 'goes', 'bore', 'shot', 'lose', 'knot', 'god', 'won', 'done', 'sort', 'off', 'food', 'nor', 'join', 'roll', 'hope', 'role', 'fro', 'blow', 'poor', 'gone', 'sofa', 'row', 'box', 'got', 'bob', 'coin', 'omne', 'pro', 'body', 'ross', 'pope', 'job', 'hole', 'roof', 'lord', 'foot', 'town', 'folk', 'copy', 'low', 'hoax', 'loss', 'cost', 'roar', 'joke', 'nose', 'poky', 'shop', 'stop', 'crop', 'dog', 'eton', 'iron', 'foil', 'bow', 'soda', 'worn', 'tout', 'boa', 'boat', 'fond', 'sob', 'lyon', 'oily', 'pon', 'odd', 'ones', 'toe', 'torn', 'brow', 'vows', 'jove', 'onto', 'son', 'pool', 'cobb', 'plot', 'bone', 'spot', 'fog', 'mole', 'moss', 'nous', 'cord', 'gaol', 'jot', 'boys', 'bond', 'foul', 'howl', 'owe', 'hook', 'sons', 'hood', 'oath', 'ado', 'cock', 'glow', 'zero', 'oak', 'cook', 'loaf', 'lone', 'port', 'dock', 'slop', 'oil', 'lot', 'sots', 'toy', 'whoa', 'soie', 'gown', 'blot', 'ours', 'loop', 'sold', 'echo', 'amoy', 'fowl', 'host', 'cosy', 'woke', 'sore', 'opal', 'move', 'joy', 'worm', 'rope', 'fool', 'undo', 'bloc', 'soft', 'cool', 'tone', 'tons', 'rod', 'moon', 'vote', 'bold', 'oct', 'foie', 'snow', 'tool', 'wont', 'nova', 'fold', 'obey', 'gong', 'fogs', 'sour', 'iota', 'jowl', 'coil', 'org', 'docs', 'goal', 'iowa', 'york', 'ohio', 'com', 'prof', 'owns', 'iso', 'dodd', 'soil', 'roth', 'leo', 'oxen', 'owed', 'poet', 'toil', 'song', 'fort', 'pot', 'root', 'vols', 'ford', 'plow', 'corn', 'lots', 'wool', 'wove', 'mode', 'pork', 'lows', 'log', 'vol', 'otis', 'yoke', 'dole', 'doom', 'dogs', 'veto', 'void', 'non', 'tory', 'sown', 'riot', 'mobs', 'howe', 'moor', 'mob', 'poem', 'cope', 'load', 'flow', 'hero', 'fox', 'pour', 'knox', 'foes', 'pomp', 'soto', 'holy', 'felo', 'agog', 'cow', 'ton', 'scow', 'dorr', 'poll', 'shod', 'amos', 'boom', 'rode', 'polk', 'boon', 'ores', 'oven', 'rio', 'pony', 'horn', 'pots', 'los', 'coal', 'woof', 'pole', 'loom', 'hogs', 'hoes', 'sows', 'vow', 'tom', 'rock', 'sow', 'jobs', 'boor', 'rome', 'ore', 'tour', 'loan', 'boss', 'ode', 'loam', 'aloe', 'oats', 'foe', 'cody', 'troy', 'olin', 'thou', 'omen', 'pago', 'lome', 'rico', 'hoar', 'rowe', 'bolt', 'ogg', 'hon', 'mott', 'soap', 'zone', 'omit', 'avow', 'foch', 'cox', 'bout', 'oe', 'coli', 'oris', 'ilio', 'os', 'clot', 'sero', 'op', 'ooze', 'oval', 'dose', 'bubo', 'boil', 'teno', 'cone', 'muco', 'toes', 'bony', 'ano', 'foci', 'mown', 'node', 'gout', 'coma', 'rods', 'noma', 'iodi', 'cows', 'pox', 'roe', 'oils', 'owes', 'ox', 'cod', 'roux', 'auto', 'neo', 'novo', 'ovum', 'oral', 'dome', 'naso', 'glio', 'myxo', 'myo', 'core', 'soup', 'vaso', 'cork', 'mayo', 'endo', 'colt', 'loin', 'soak', 'noxa', 'sock', 'dots', 'scot', 'pott', 'coxa', 'poly', 'mon', 'oz', 'kopf', 'joys', 'bows', 'rosy', 'dio', 'dato', 'bory', 'doll', 'onya', 'rows', 'olga', 'vous', 'hors', 'oui', 'goot', 'roam', 'po', 'oo', 'pose', 'lion', 'sobs', 'oft', 'ho', 'hofs', 'monk', 'icon', 'trot', 'faro', 'gott', 'nos', 'mot', 'dont', 'hoch', 'foh', 'rook', 'hoof', 'cwow', 'flog', 'foam', 'fwo', 'noon', 'oooh', 'mots', 'mop', 'pont', 'voit', 'logs', 'bowl', 'pock', 'robs', 'nom', 'ouh', 'flop', 'hop', 'azov', 'vot', 'fo', 'twot', 'roan', 'atom', 'code', 'pop', 'cogs', 'foi', 'orb', 'cob', 'twos', 'ober', 'toll', 'pond', 'moan', 'jolt', 'goat', 'odor', 'comb', 'domo', 'wo', 'sot', 'foka', 'font', 'coax', 'mio', 'rob', 'ong', 'roi', 'tomb', 'cot', 'ovo', 'toss', 'nook', 'voir', 'woot', 'fwom', 'oaks', 'halo', 'sous', 'bog', 'soll', 'knob', 'dron', 'koko', 'wolf', 'hoy', 'lope', 'trod', 'toys', 'gods', 'mort', 'trop', 'toi', 'foo', 'sont', 'mock', 'woes', 'bons', 'ou', 'quos', 'oder', 'nods', 'unto', 'mold', 'sov', 'loot', 'rou', 'foal', 'mo', 'om', 'tow', 'joan', 'dove', 'crow', 'lodi', 'idol', 'ooh', 'gory', 'malo', 'robe', 'fork', 'doze', 'coup', 'foxy', 'oho', 'gosp', 'oka', 'azor', 'soot', 'gros', 'ont', 'rout', 'donc', 'vos', 'lout', 'orel', 'cond', 'mori', 'loi', 'prop', 'frog', 'cos', 'okay', 'bomb', 'golf', 'norm', 'opt', 'ok', 'owl', 'chop', 'cop', 'dot', 'slot', 'ego', 'solo', 'soar', 'ion', 'noun', 'obs', 'doth', 'joe', 'woe', 'dost', 'lo', 'nov', 'oars', 'vo', 'owen', 'doe', 'anon', 'yon', 'roy', 'odds', 'dora', 'cong', 'col', 'con', 'quod', 'leon', 'fore', 'otto', 'hugo', 'rosa', 'oar', 'womb', 'joel', 'tony', 'holt', 'noah', 'cor', 'boer', 'lore', 'rot', 'ole', 'yore', 'noel', 'sol', 'ord'], 257)"
lessening,"([], 1)"
blazed,"(['blazoned'], 6)"
landlordism,"([], 1)"
ovoid,"([], 2)"
flatten,"([], 2)"
fished,"(['famished'], 1)"
scuttle,"([], 1)"
finances,"(['financiers'], 15)"
covert,"([], 5)"
buffalo,"(['buffaloes'], 12)"
typewritist,"([], 1)"
prearranged,"([], 5)"
ention,"(['mentions', 'detention'], 1)"
umbilical,"([], 2)"
bweed,"([], 1)"
obvious,"(['oblivious'], 68)"
incision,"(['incisions'], 46)"
glorify,"([], 1)"
recommendations,"([], 2)"
vistula,"([], 6)"
debtor,"(['debtors'], 3)"
amiabilities,"([], 2)"
gods,"(['goddess', 'pagodes', 'pagodas'], 3)"
